ranking,codigo ibge,cidade ,estado,populacao,uf
1813§,2107605,Palmeirƒndia,ma,19ÿ840,ma
1814§,1506559,Santa Luzia do Par ,pa ,19ÿ839,pa 
1815§,3167608,Simonesia,mg,19ÿ834,mg
1816§,2202000,Buriti dos Lopes,pi,19ÿ832,pi
1817§,4101101,Andir ,pr ,19ÿ823,pr 
1818§,2805802,Riachao do Dantas,se,19ÿ813,se
1819§,3108305,Borda da Mata,mg,19ÿ809,mg
1820§,3536208,Pariquera-A‡u,sp,19ÿ797,sp
1821§,1200427,Rodrigues Alves,ÿac,19ÿ767,ac
1822§,3111101,Campina Verde,mg,19ÿ759,mg
1823§,3114501,Carm¢polis de Minas,mg,19ÿ756,mg
1824§,1200351,Marechal Thaumaturgo,ÿac,19ÿ727,ac
1825§,2202604,Castelo do Piau¡,pi,19ÿ716,pi
1826§,5100300,Alto Araguaia,mt,19ÿ714,mt
1827§,2107100,Morros,ma,19ÿ708,ma
1828§,2108009,Pastos Bons,ma,19ÿ693,ma
1829§,3153400,Presidente Oleg rio,mg,19ÿ680,mg
1830§,2603900,Carna¡ba,pe,19ÿ666,pe
1831§,2901601,Antas,ba,19ÿ659,ba
1832§,1200336,Mƒncio Lima,ÿac,19ÿ643,ac
1833§,1303502,Pauini,ÿam,19ÿ616,am
1834§,2107407,Olho d'Agua das CunhÆs,ma,19ÿ616,ma
1835§,2932457,Umburanas,ba,19ÿ573,ba
1836§,2313351,Teju‡uoca,ce ,19ÿ551,ce 
1837§,2102507,Cajari,ma,19ÿ521,ma
1838§,4212205,Papanduva,sc,19ÿ521,sc
1839§,3529906,Miracatu,sp,19ÿ511,sp
1840§,2511905,Pitimbu,pb,19ÿ478,pb
1841§,4101002,Ampere,pr ,19ÿ466,pr 
1842§,4218301,Trˆs Barras,sc,19ÿ455,sc
1843§,3539103,Pirapora do Bom Jesus,sp,19ÿ453,sp
1844§,4309605,Horizontina,rs,19ÿ446,rs
1845§,4126306,Senges,pr ,19ÿ441,pr 
1846§,2104099,Formosa da Serra Negra,ma,19ÿ425,ma
1847§,3204351,Rio Bananal,es,19ÿ398,es
1848§,4121208,Quitandinha,pr ,19ÿ388,pr 
1849§,4128500,Wenceslau Braz,pr ,19ÿ358,pr 
1850§,1508050,Trairao,pa ,19ÿ344,pa 
1851§,2304301,Farias Brito,ce ,19ÿ330,ce 
1852§,2932804,Utinga,ba,19ÿ330,ba
1853§,5204409,Caiap“nia,go,19ÿ304,go
1854§,3170909,Varzelƒndia,mg,19ÿ290,mg
1855§,3100906,Aguas Formosas,mg,19ÿ285,mg
1856§,2606507,Iati,pe,19ÿ284,pe
1857§,1400175,Cant ,rr,19ÿ257,rr
1858§,1100080,Costa Marques,ro,19ÿ255,ro
1859§,2107902,Passagem Franca,ma,19ÿ253,ma
1860§,3104908,Baependi,mg,19ÿ249,mg
1861§,2605152,Dormentes,pe,19ÿ246,pe
1862§,3518503,Guare¡,sp,19ÿ244,sp
1863§,4206900,Ibirama,sc,19ÿ238,sc
1864§,2205201,Jaic¢s,pi,19ÿ233,pi
1865§,2916005,Itanhem,ba,19ÿ231,ba
1866§,2614006,Serrita,pe,19ÿ226,pe
1867§,2109270,Presidente Sarney,ma,19ÿ217,ma
1868§,4211751,Otac¡lio Costa,sc,19ÿ201,sc
1869§,4104501,Capanema,pr ,19ÿ172,pr 
1870§,2917805,Jaguaripe,ba,19ÿ162,ba
1871§,3301207,Carmo,rj,19ÿ161,rj
1872§,4311205,J£lio de Castilhos,rs,19ÿ159,rs
1873§,5003801,F tima do Sul,ms,19ÿ152,ms
1874§,1200807,Porto ac,ÿac,19ÿ141,ac
1875§,3556800,Viradouro,sp,19ÿ133,sp
1876§,3140902,Matip¢,mg,19ÿ098,mg
1877§,2917201,Itua‡u,ba,19ÿ095,ba
1878§,2111607,Sao Raimundo das Mangabeiras,ma,19ÿ090,ma
1879§,4105409,Chopinzinho,pr ,19ÿ083,pr 
1880§,4106209,Contenda,pr ,19ÿ082,pr 
1881§,2501302,Aroeiras,pb,19ÿ081,pb
1882§,3304102,Porci£ncula,rj,19ÿ068,rj
1883§,2803302,Japaratuba,se,19ÿ067,se
1884§,1507979,Terra Santa,pa ,19ÿ063,pa 
1885§,2919702,Macarani,ba,19ÿ056,ba
1886§,1304237,Tonantins,ÿam,19ÿ038,am
1887§,2603504,Camocim de Sao Felix,pe,19ÿ032,pe
1888§,3508702,Caconde,sp,19ÿ031,sp
1889§,2504405,Conceicao,pb,19ÿ030,pb
1890§,2101509,Barao de Graja£,ma,19ÿ026,ma
1891§,3124005,Erv lia,mg,19ÿ019,mg
1892§,3128303,Guaranesia,mg,19ÿ014,mg
1893§,2904852,Cabaceiras do Paragua‡u,ba,19ÿ010,ba
1894§,1200252,Epitaciolƒndia,ÿac,18ÿ979,ac
1895§,2507101,Itapororoca,pb,18ÿ978,pb
1896§,3203502,Montanha,es,18ÿ954,es
1897§,3531506,Monte Azul Paulista,sp,18ÿ928,sp
1898§,3131158,Ipaba,mg,18ÿ926,mg
1899§,4101200,Antonina,pr ,18ÿ919,pr 
1900§,3500501,Aguas de Lind¢ia,sp,18ÿ908,sp
1901§,3501152,Alum¡nio,sp,18ÿ903,sp
1902§,2806008,Ribeir¢polis,se,18ÿ891,se
1903§,1702554,Augustin¢polis,to,18ÿ870,to
1904§,3127008,Fronteira,mg,18ÿ866,mg
1905§,3532405,Nazare Paulista,sp,18ÿ866,sp
1906§,2512002,Pocinhos,pb,18ÿ848,pb
1907§,2616001,Venturosa,pe,18ÿ835,pe
1908§,2908101,Cocos,ba,18ÿ835,ba
1909§,2800506,Areia Branca,se,18ÿ825,se
1910§,4205803,Garuva,sc,18ÿ816,sc
1911§,2108801,Pirapemas,ma,18ÿ814,ma
1912§,5107107,Sao Jose dos Quatro Marcos,mt,18ÿ788,mt
1913§,2929255,Sao Gabriel,ba,18ÿ785,ba
1914§,4103453,Cafelƒndia,pr ,18ÿ783,pr 
1915§,4106803,Cruz Machado,pr ,18ÿ772,pr 
1916§,2110401,Sao Benedito do Rio Preto,ma,18ÿ769,ma
1917§,2111078,Sao Joao do Soter,ma,18ÿ746,ma
1918§,2104552,Governador Edison Lobao,ma,18ÿ740,ma
1919§,2511400,Picu¡,pb,18ÿ737,pb
1920§,2101301,Bacuri,ma,18ÿ726,ma
1921§,2303303,Cari£s,ce ,18ÿ700,ce 
1922§,3159902,Santo Ant“nio do Amparo,mg,18ÿ697,mg
1923§,2804409,Ne¢polis,se,18ÿ688,se
1924§,3302809,Mendes,rj,18ÿ681,rj
1925§,3304409,Rio Claro,rj,18ÿ677,rj
1926§,2905404,Cairu,ba,18ÿ666,ba
1927§,2932200,Ubaitaba,ba,18ÿ647,ba
1928§,3526100,Juqui ,sp,18ÿ627,sp
1929§,3523602,Itirapina,sp,18ÿ610,sp
1930§,2921401,Mirangaba,ba,18ÿ603,ba
1931§,3512001,Colina,sp,18ÿ601,sp
1932§,2111409,Sao Lu¡s Gonzaga do Maranhao,ma,18ÿ600,ma
1933§,3511607,Ces rio Lange,sp,18ÿ595,sp
1934§,2905305,Cafarnaum,ba,18ÿ585,ba
1935§,5005681,Mundo Novo,ms,18ÿ578,ms
1936§,4217808,Tai¢,sc,18ÿ576,sc
1937§,3139201,Malacacheta,mg,18ÿ556,mg
1938§,2920106,Mairi,ba,18ÿ535,ba
1939§,2313955,Varjota,ce ,18ÿ520,ce 
1940§,3113701,Carlos Chagas,mg,18ÿ516,mg
1941§,2208205,Pio IX,pi,18ÿ492,pi
1942§,2903805,Boa Vista do Tupim,ba,18ÿ491,ba
1943§,1400308,Mucaja¡,rr,18ÿ482,rr
1944§,2303105,Carire,ce ,18ÿ470,ce 
1945§,2700706,Batalha,ÿal,18ÿ440,al
1946§,2608453,Lagoa do Carro,pe,18ÿ429,pe
1947§,2507705,Juazeirinho,pb,18ÿ422,pb
1948§,2912400,Ibipeba,ba,18ÿ421,ba
1949§,3530201,Mirante do Paranapanema,sp,18ÿ415,sp
1950§,2703304,Inhapi,ÿal,18ÿ398,al
1951§,2313005,Solon¢pole,ce ,18ÿ389,ce 
1952§,5107065,Querˆncia,mt,18ÿ386,mt
1953§,1708205,Formoso do Araguaia,to,18ÿ358,to
1954§,2802809,Indiaroba,se,18ÿ337,se
1955§,2406106,Jucurutu,rn,18ÿ335,rn
1956§,2604700,Correntes,pe,18ÿ327,pe
1957§,2801009,Campo do Brito,se,18ÿ325,se
1958§,2301851,Banabui£,ce ,18ÿ313,ce 
1959§,2702553,Estrela de al,ÿal,18ÿ304,al
1960§,3535606,Paraibuna,sp,18ÿ302,sp
1961§,1302801,MaraÆ,ÿam,18ÿ298,am
1962§,3138807,Luz,mg,18ÿ297,mg
1963§,2311702,Reriutaba,ce ,18ÿ279,ce 
1964§,3137007,Ladainha,mg,18ÿ272,mg
1965§,3305406,Sapucaia,rj,18ÿ270,rj
1966§,2904704,Buerarema,ba,18ÿ269,ba
1967§,4115606,Matelƒndia,pr ,18ÿ266,pr 
1968§,5212204,Jussara,go,18ÿ266,go
